id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
86.0,,Schumanplein,11.0,1040,Brussel,Bruxelles-brussel,,,,,"Schumanplein, 1040 Brussel, Bruxelles-brussel",50.8421891,4.3835297
96.0,,Graafschap-jettelaan,2.0,1090,Brussel,Bruxelles-brussel,,,,,"Graafschap-jettelaan, 1090 Brussel, Bruxelles-brussel",50.8830257,4.3333836
97.0,,Sint-pieterskerstraat,,1090,Brussel,Bruxelles-brussel,,,,,"Sint-pieterskerstraat, 1090 Brussel, Bruxelles-brussel",50.8802534,4.3250605
98.0,,Wemmelsestweg,100.0,1090,Brussel,Bruxelles-brussel,,,,,"Wemmelsestweg, 1090 Brussel, Bruxelles-brussel",50.8747739,4.3314996
101.0,,Tweestationsstraat,80.0,1070,Brussel,Bruxelles-brussel,,,,,"Tweestationsstraat, 1070 Brussel, Bruxelles-brussel",50.8314212,4.3222147
214.0,,Rue de l église,,1150,Bruxelles,Bruxelles-brussel,,,,,"Rue de l église, 1150 Bruxelles, Bruxelles-brussel",50.8407211,4.4634331
315.0,,Wetstraat,23.0,1040,Brussel,Bruxelles-brussel,,,,,"Wetstraat, 1040 Brussel, Bruxelles-brussel",50.8436372,4.377997
335.0,,Chaussée de haecht,1405.0,1130,Bruxelles,Bruxelles-brussel,,,,,"Chaussée de haecht, 1130 Bruxelles, Bruxelles-brussel",50.8812591,4.4160117
354.0,,Bld leopold ii,44.0,1080,Bruxelles,Bruxelles-brussel,,,,,"Bld leopold ii, 1080 Bruxelles, Bruxelles-brussel",50.860875,4.3386838
355.0,,Adolphe lavallée,1.0,1080,Bruxelles,Bruxelles-brussel,,,,,"Adolphe lavallée, 1080 Bruxelles, Bruxelles-brussel",50.8589961,4.3419258
356.0,,Bld. du jardin botanique,,1000,Bruxelles,Bruxelles-brussel,,,,,"Bld. du jardin botanique, 1000 Bruxelles, Bruxelles-brussel",50.8546109,4.3606333
376.0,,Chée de wavre,2057.0,1160,Bruxelles,Bruxelles-brussel,,,,,"Chée de wavre, 1160 Bruxelles, Bruxelles-brussel",50.821486,4.4066304
377.0,,Av. mounier,87.0,1200,Bruxelles,Bruxelles-brussel,,,,,"Av. mounier, 1200 Bruxelles, Bruxelles-brussel",50.8507765,4.4537123
378.0,,Rue des grives,53.0,1070,Bruxelles,Bruxelles-brussel,,,,,"Rue des grives, 1070 Bruxelles, Bruxelles-brussel",50.8165794,4.2971445
383.0,,Brand whitlocklaan,165.0,1200,Brussel,Bruxelles-brussel,,,,,"Brand whitlocklaan, 1200 Brussel, Bruxelles-brussel",50.8422687,4.4061025
417.0,,Arianelaan,5.0,1200,Brussel,Bruxelles-brussel,,,,,"Arianelaan, 1200 Brussel, Bruxelles-brussel",50.85818,4.43229
491.0,,Squaire marie-curie,40.0,1070,Bruxelles,Bruxelles-brussel,,,,,"Squaire marie-curie, 1070 Bruxelles, Bruxelles-brussel",50.821763,4.2850474
492.0,,Rue osseghem,53.0,1080,Bruxelles,Bruxelles-brussel,,,,,"Rue osseghem, 1080 Bruxelles, Bruxelles-brussel",50.8542413,4.3180183
495.0,,Avenue herman debroux,42.0,1160,Bruxelles,Bruxelles-brussel,,,,,"Avenue herman debroux, 1160 Bruxelles, Bruxelles-brussel",50.8127249,4.430998
531.0,,Bld. du souverain,25.0,1170,Bruxelles,Bruxelles-brussel,,,,,"Bld. du souverain, 1170 Bruxelles, Bruxelles-brussel",50.8057269,4.4266179
533.0,,Rue du trône ,1.0,1000,Bruxelles,Bruxelles-brussel,,,,,"Rue du trône , 1000 Bruxelles, Bruxelles-brussel",50.8365145,4.3706329
534.0,,Av. marcel thiry,208.0,1200,Bruxelles,Bruxelles-brussel,,,,,"Av. marcel thiry, 1200 Bruxelles, Bruxelles-brussel",50.8566024,4.4326714
543.0,,Rue ducale,1.0,1000,Bruxelles,Bruxelles-brussel,,,,,"Rue ducale, 1000 Bruxelles, Bruxelles-brussel",50.8445778,4.3660574
545.0,,Av. de la couronne,6.0,1050,Bruxelles,Bruxelles-brussel,,,,,"Av. de la couronne, 1050 Bruxelles, Bruxelles-brussel",50.8244627,4.3855985
575.0,,Laarbeeklaan,105.0,1090,Brussel,Bruxelles-brussel,,,,,"Laarbeeklaan, 1090 Brussel, Bruxelles-brussel",50.8857069,4.3140194
586.0,,Rue de l industrie,44.0,1040,Bruxelles,Bruxelles-brussel,,,,,"Rue de l industrie, 1040 Bruxelles, Bruxelles-brussel",50.8422361,4.3698809
587.0,,Rue royale ,100.0,1000,Bruxelles,Bruxelles-brussel,,,,,"Rue royale , 1000 Bruxelles, Bruxelles-brussel",50.8503534,4.3641739
592.0,,Avenue de la joyeuse entrée,,1040,Bruxelles,Bruxelles-brussel,,Y,,,"Avenue de la joyeuse entrée, 1040 Bruxelles, Bruxelles-brussel",50.8421969,4.3862505
601.0,,Rue de trèves ,82.0,1040,Bruxelles,Bruxelles-brussel,,,,,"Rue de trèves , 1040 Bruxelles, Bruxelles-brussel",50.8407211,4.3741162
605.0,,Av. salomé,2.0,1150,Bruxelles,Bruxelles-brussel,,Y,,,"Av. salomé, 1150 Bruxelles, Bruxelles-brussel",50.8326219,4.4564887
614.0,,Boulevard de la woluwe,58.0,1200,Bruxelles,Bruxelles-brussel,,Y,,,"Boulevard de la woluwe, 1200 Bruxelles, Bruxelles-brussel",50.8468622,4.4394304
630.0,,Quai de willebroeck,35.0,1000,Bruxelles,Bruxelles-brussel,,Y,,,"Quai de willebroeck, 1000 Bruxelles, Bruxelles-brussel",50.8623387,4.3521206
729.0,,Boulevard roi albert ii ,,1210,Bruxelles,Bruxelles-brussel,,,,,"Boulevard roi albert ii , 1210 Bruxelles, Bruxelles-brussel",50.8580726,4.3559479
730.0,,Karmelietenstraat,15.0,1000,Bruxelles,Bruxelles-brussel,,,,,"Karmelietenstraat, 1000 Bruxelles, Bruxelles-brussel",50.8400335,4.3582917
